Stt,Nền tảng,Vai trò,Mã màn,Tên màn hình,Mô tả
1,Web + Mobile App,Người mua / Người bán cá nhân,M01,Trang Chủ,"Không cần đăng nhập. Header: Logo + Slogan + Thanh tìm kiếm + Nút Đăng nhập. Bộ lọc nhanh: Loại hình (10 loại) + Loại giao dịch (Bán/Cho thuê) + Tỉnh/Thành + Khoảng giá + Diện tích. Danh sách thẻ tin: ảnh + tiêu đề + giá + diện tích + vị trí + loại hình. Phân trang / Infinite scroll. Footer."
2,Web + Mobile App,Người mua / Người bán cá nhân,M02,Tìm Kiếm & Lọc Nâng Cao,"Không cần đăng nhập. Thanh search + Bộ lọc nâng cao: Loại hình BĐS (multi-select 10 loại) + Loại giao dịch (Bán/Cho thuê) + Tỉnh/Quận/Phường + Khoảng giá + Diện tích + Pháp lý + Số phòng ngủ (1PN/2PN/3PN/4PN+) + Hướng nhà/ban công + Nội thất. Xem dạng Danh sách hoặc Bản đồ (Google Maps). Sắp xếp: Mới nhất / Giá tăng / Giá giảm / Diện tích."
3,Web + Mobile App,Người mua / Người bán cá nhân,M03,Chi Tiết BĐS,"Không cần đăng nhập (chỉ cần khi bấm nút tư vấn). Carousel ảnh (vuốt/fullscreen). Tiêu đề + Giá + Giá/m² + Diện tích + Loại hình + Pháp lý. Địa chỉ + Google Maps embed. Thông tin Công ty: Logo + Tên + SĐT. Nút GỬI YÊU CẦU TƯ VẤN (sticky bottom). Nút Chia sẻ. Thông tin chi tiết DYNAMIC theo loại hình: Đất nền (Loại đất/Quy hoạch/Hướng/Mặt tiền/Đường vào) | Nhà riêng/Nhà phố (Số tầng/DT sàn/Số PN/Số WC/Mặt tiền/Đường vào/Hướng/Nội thất) | Căn hộ (Tầng số/Tòa/Tên dự án/Số PN/Số WC/Hướng ban công/View/Nội thất) | Biệt thự (DT đất/DT XD/Số tầng/Số PN/Sân vườn/Hồ bơi/Hướng) | Nhà mặt phố (Số tầng/DT sàn/Mặt tiền/Vỉa hè/Hướng) | Văn phòng (DT sàn/Tầng/Tòa/Nội thất/ĐH trung tâm/Thang máy) | Mặt bằng KD (DT sàn/Chiều ngang/Chiều dài/Mặt tiền/Tầng/Vị trí) | Kho-Xưởng (DT kho/Chiều cao/Tải trọng sàn/Cửa xe tải/Điện 3 pha) | Đất nông nghiệp (Loại đất/DT/Nguồn nước/Hiện trạng) | Dự án BĐS (Tên dự án/Chủ đầu tư/Tiến độ/Loại căn/Tầng/Block)."
4,Web + Mobile App,Người mua / Người bán cá nhân,M04,Đăng Nhập (SĐT + OTP),"Input SĐT + Nút Gửi OTP + Input OTP 6 số + Nút Xác nhận + Nút Gửi lại OTP (60 giây). SĐT chưa có tài khoản → tự động tạo mới và đăng nhập. OTP hết hạn sau 5 phút."
5,Web + Mobile App,Người mua / Người bán cá nhân,M05,Form Gửi Yêu Cầu Tư Vấn,"Yêu cầu đăng nhập. Bottom sheet từ dưới lên. Input Tên (bắt buộc) + SĐT (bắt buộc – tự điền nếu đã đăng nhập) + Ghi chú (không bắt buộc). Nút Gửi yêu cầu + Nút đóng X. Sau khi gửi: tạo đơn trạng thái Chờ tư vấn → thông báo realtime cho Công ty BĐS."
6,Web + Mobile App,Người mua / Người bán cá nhân,M06,Lịch Sử Tư Vấn,"Yêu cầu đăng nhập. Danh sách đơn tư vấn đã gửi. Mỗi đơn: Ảnh BĐS + Tên BĐS + Tên Công ty + Ngày gửi + Badge trạng thái. Vòng đời: ⏳ Chờ tư vấn → 📞 Đang tư vấn → 🏠 Hẹn xem đất → 📝 Đang chuyển nhượng → 📋 Chờ sổ → ✅ Hoàn thành. Bấm vào đơn → xem chi tiết + timeline trạng thái."
7,Web + Mobile App,Người mua / Người bán cá nhân,M07,Đăng Ký Bán BĐS / Ký Gửi,"Yêu cầu đăng nhập. Form ký gửi tài sản: Dropdown Loại hình (10 loại) + Loại giao dịch (Bán/Cho thuê) + Diện tích + Giá mong muốn + Địa chỉ đầy đủ (Tỉnh/Quận/Phường + chi tiết) + Pháp lý + Upload ảnh (tối đa 10 ảnh) + Mô tả thêm + SĐT liên hệ (bắt buộc). Sau khi chọn loại hình → hiện thêm các trường đặc trưng tương ứng (dynamic). Sau khi gửi: Admin tiếp nhận → liên hệ lại xác nhận."
8,Web + Mobile App,Người mua / Người bán cá nhân,M08,Thông Tin Cá Nhân,"Yêu cầu đăng nhập. Avatar (bấm để upload/thay đổi). Họ và tên + SĐT đăng nhập (chỉ đọc) + Email (tùy chọn) + Ngày sinh (tùy chọn) + Giới tính: Nam/Nữ/Khác (tùy chọn) + Địa chỉ thường trú (tùy chọn). Nút Cập nhật thông tin + Nút Đăng xuất. Thông tin đã lưu sẽ tự điền vào form tư vấn khi cần."
9,Web,Công ty BĐS,C01,Đăng Nhập Công Ty,"Input Username + Input Password (nút show/hide) + Link Quên mật khẩu + Nút Đăng nhập. Lần đầu đăng nhập → bắt buộc chuyển sang C02 đổi mật khẩu trước khi vào hệ thống. Đăng nhập sai 5 lần → khoá tài khoản tạm thời + thông báo liên hệ Admin. Tài khoản do Admin tạo và cấp username/password tạm thời."
10,Web,Công ty BĐS,C02,Đổi Mật Khẩu Lần Đầu,"Chỉ xuất hiện 1 lần duy nhất khi đăng nhập lần đầu. Không thể bỏ qua. Thông báo bắt buộc đổi mật khẩu. Input Mật khẩu mới + Input Xác nhận mật khẩu mới + Nút Cập nhật mật khẩu. Sau khi đổi thành công → vào thẳng C04 Dashboard."
11,Web,Công ty BĐS,C03,Quên Mật Khẩu,"3 bước: [B1] Nhập Username hoặc SĐT → hệ thống gửi OTP SMS về SĐT đăng ký. [B2] Nhập mã OTP 6 số + Nút Gửi lại OTP (60 giây). [B3] Nhập mật khẩu mới + Xác nhận → đổi thành công → về C01."
12,Web,Công ty BĐS,C04,Dashboard Tổng Quan,"4 thẻ thống kê: Tổng tài sản đang quản lý + Tổng tin đang hiển thị + Đơn tư vấn mới chưa xử lý (badge đỏ nếu >0) + Đơn đang tư vấn dở. Bảng 5 đơn tư vấn mới nhất. Bảng tin đăng sắp hết hạn trong 7 ngày tới. Biểu đồ đơn tư vấn theo tuần/tháng. Thông báo realtime qua Socket.io khi có đơn mới."
13,Web,Công ty BĐS,C05,Quản Lý Tài Sản,"Nút Thêm tài sản mới. Thanh tìm kiếm. Bộ lọc Loại hình + Loại giao dịch + Trạng thái. Bảng: ảnh đại diện + loại hình + địa chỉ + giá + diện tích + số tin đang chạy + nút Sửa + Xoá. Không thể xoá tài sản đang có tin đăng hoạt động. 1 tài sản có thể có nhiều tin đăng."
14,Web,Công ty BĐS,C06,Chi Tiết / Tạo / Sửa Tài Sản,"Form DYNAMIC theo loại hình. Nhóm Cơ bản (tất cả loại): Loại hình BĐS (10 loại) + Loại giao dịch (Bán/Cho thuê) + Giá + Diện tích + SĐT người bán. Nhóm Pháp lý. Nhóm Vị trí: Tỉnh/Quận/Phường + Địa chỉ chi tiết + Tọa độ GPS. Nhóm Hình ảnh: Upload tối đa 20 ảnh + hỗ trợ video + kéo thả sắp xếp (ảnh đầu = đại diện). Nhóm Chi tiết đặc trưng: hiện các trường riêng tương ứng khi chọn loại hình (Đất nền / Nhà riêng / Căn hộ / Biệt thự / Nhà mặt phố / Văn phòng / Mặt bằng KD / Kho-Xưởng / Đất nông nghiệp / Dự án BĐS). Nút Lưu + Huỷ."
15,Web,Công ty BĐS,C07,Quản Lý Tin Đăng,"Nút Tạo tin mới. Tabs: Tất cả / Đang hiển thị / Chờ duyệt / Hết hạn / Bị từ chối. Mỗi tin: ảnh thu nhỏ + tiêu đề + tài sản liên kết + ngày hết hạn + badge trạng thái + số lượt xem + số đơn tư vấn + nút Sửa + Xoá + Gia hạn (chỉ tin Hết hạn). Tin sau khi sửa hoặc gia hạn → về trạng thái Chờ duyệt."
16,Web,Công ty BĐS,C08,Tạo / Sửa Tin Đăng,"Dropdown chọn Tài sản liên kết (từ danh sách tài sản đã có). Preview tài sản được chọn (ảnh + địa chỉ + giá). Input Tiêu đề tin đăng (bắt buộc). Textarea Mô tả marketing (bắt buộc). DatePicker Ngày hết hạn (bắt buộc). Nút Gửi duyệt + Huỷ. Tin mới tạo luôn ở trạng thái Chờ duyệt cho đến khi Admin duyệt."
